pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
5.32884,2.2220e-05,2.0441e-05,2.2662e-05,2.1001e-05,2.1262e-05,2.3454e-05,2.0819e-05,2.2375e-05,2.1242e-05,2.2007e-05,2.2412e-05,2.2695e-05,2.4044e-05,2.3460e-05,2.3200e-05,2.1128e-05,2.1764e-05,2.3476e-05,2.3239e-05,3.1450e-05,3.5338e-05,3.3215e-05,1.9973e-05,1.9711e-05,1.7908e-05,1.5995e-05,1.6826e-05,2.3322e-05,2.3686e-05,2.2228e-05,2.1499e-05,2.0418e-05,2.3237e-05,2.0946e-05,2.1702e-05,2.1813e-05,2.2069e-05
5.40317,2.2187e-05,2.0406e-05,2.2685e-05,2.0998e-05,2.1272e-05,2.3480e-05,2.0788e-05,2.2379e-05,2.1232e-05,2.1937e-05,2.2396e-05,2.2705e-05,2.4088e-05,2.3478e-05,2.3219e-05,2.1149e-05,2.1742e-05,2.3440e-05,2.3274e-05,3.1468e-05,3.5257e-05,3.3245e-05,2.0083e-05,1.9808e-05,1.7984e-05,1.6048e-05,1.6870e-05,2.3310e-05,2.3636e-05,2.2191e-05,2.1445e-05,2.0382e-05,2.3251e-05,2.0937e-05,2.1652e-05,2.1803e-05,2.2064e-05
5.47854,2.2154e-05,2.0371e-05,2.2710e-05,2.0997e-05,2.1280e-05,2.3507e-05,2.0757e-05,2.2383e-05,2.1221e-05,2.1867e-05,2.2381e-05,2.2715e-05,2.4133e-05,2.3495e-05,2.3237e-05,2.1171e-05,2.1719e-05,2.3405e-05,2.3308e-05,3.1486e-05,3.5177e-05,3.3275e-05,2.0194e-05,1.9905e-05,1.8059e-05,1.6101e-05,1.6915e-05,2.3298e-05,2.3585e-05,2.2156e-05,2.1390e-05,2.0347e-05,2.3265e-05,2.0929e-05,2.1604e-05,2.1794e-05,2.2059e-05
5.55496,2.2120e-05,2.0335e-05,2.2733e-05,2.0994e-05,2.1289e-05,2.3534e-05,2.0726e-05,2.2387e-05,2.1212e-05,2.1796e-05,2.2366e-05,2.2726e-05,2.4177e-05,2.3513e-05,2.3256e-05,2.1192e-05,2.1697e-05,2.3369e-05,2.3341e-05,3.1502e-05,3.5097e-05,3.3305e-05,2.0304e-05,2.0002e-05,1.8134e-05,1.6154e-05,1.6960e-05,2.3285e-05,2.3534e-05,2.2120e-05,2.1336e-05,2.0311e-05,2.3280e-05,2.0919e-05,2.1554e-05,2.1784e-05,2.2054e-05
5.63245,2.2088e-05,2.0300e-05,2.2757e-05,2.0991e-05,2.1298e-05,2.3561e-05,2.0694e-05,2.2391e-05,2.1202e-05,2.1726e-05,2.2352e-05,2.2736e-05,2.4220e-05,2.3529e-05,2.3275e-05,2.1214e-05,2.1675e-05,2.3334e-05,2.3376e-05,3.1520e-05,3.5017e-05,3.3334e-05,2.0413e-05,2.0099e-05,1.8209e-05,1.6207e-05,1.7004e-05,2.3273e-05,2.3484e-05,2.2084e-05,2.1282e-05,2.0276e-05,2.3294e-05,2.0911e-05,2.1505e-05,2.1774e-05,2.2049e-05
5.71102,2.2054e-05,2.0265e-05,2.2781e-05,2.0989e-05,2.1306e-05,2.3588e-05,2.0664e-05,2.2394e-05,2.1192e-05,2.1656e-05,2.2337e-05,2.2746e-05,2.4265e-05,2.3547e-05,2.3293e-05,2.1237e-05,2.1654e-05,2.3301e-05,2.3411e-05,3.1540e-05,3.4940e-05,3.3367e-05,2.0525e-05,2.0197e-05,1.8285e-05,1.6260e-05,1.7048e-05,2.3260e-05,2.3433e-05,2.2048e-05,2.1228e-05,2.0241e-05,2.3309e-05,2.0901e-05,2.1455e-05,2.1765e-05,2.2045e-05
5.79068,2.2021e-05,2.0229e-05,2.2805e-05,2.0986e-05,2.1316e-05,2.3615e-05,2.0633e-05,2.2398e-05,2.1182e-05,2.1586e-05,2.2321e-05,2.2755e-05,2.4309e-05,2.3565e-05,2.3312e-05,2.1261e-05,2.1634e-05,2.3268e-05,2.3448e-05,3.1560e-05,3.4863e-05,3.3400e-05,2.0637e-05,2.0293e-05,1.8360e-05,1.6313e-05,1.7093e-05,2.3248e-05,2.3383e-05,2.2012e-05,2.1173e-05,2.0206e-05,2.3323e-05,2.0893e-05,2.1406e-05,2.1756e-05,2.2039e-05
5.87145,2.1988e-05,2.0195e-05,2.2828e-05,2.0984e-05,2.1324e-05,2.3642e-05,2.0602e-05,2.2402e-05,2.1172e-05,2.1516e-05,2.2306e-05,2.2766e-05,2.4353e-05,2.3582e-05,2.3331e-05,2.1284e-05,2.1614e-05,2.3234e-05,2.3484e-05,3.1581e-05,3.4786e-05,3.3433e-05,2.0750e-05,2.0390e-05,1.8435e-05,1.6367e-05,1.7137e-05,2.3235e-05,2.3332e-05,2.1977e-05,2.1119e-05,2.0170e-05,2.3337e-05,2.0884e-05,2.1357e-05,2.1746e-05,2.2035e-05
5.95336,2.1955e-05,2.0159e-05,2.2852e-05,2.0982e-05,2.1332e-05,2.3669e-05,2.0570e-05,2.2406e-05,2.1162e-05,2.1445e-05,2.2291e-05,2.2776e-05,2.4398e-05,2.3599e-05,2.3349e-05,2.1307e-05,2.1593e-05,2.3201e-05,2.3520e-05,3.1601e-05,3.4710e-05,3.3465e-05,2.0861e-05,2.0487e-05,1.8511e-05,1.6420e-05,1.7182e-05,2.3223e-05,2.3281e-05,2.1941e-05,2.1065e-05,2.0135e-05,2.3352e-05,2.0875e-05,2.1308e-05,2.1736e-05,2.2030e-05
6.0364,2.1922e-05,2.0124e-05,2.2876e-05,2.0979e-05,2.1342e-05,2.3695e-05,2.0540e-05,2.2409e-05,2.1152e-05,2.1375e-05,2.2276e-05,2.2786e-05,2.4441e-05,2.3616e-05,2.3368e-05,2.1331e-05,2.1573e-05,2.3168e-05,2.3556e-05,3.1621e-05,3.4633e-05,3.3498e-05,2.0973e-05,2.0584e-05,1.8586e-05,1.6473e-05,1.7226e-05,2.3209e-05,2.3231e-05,2.1905e-05,2.1011e-05,2.0100e-05,2.3366e-05,2.0866e-05,2.1259e-05,2.1727e-05,2.2024e-05
6.1206,2.1889e-05,2.0088e-05,2.2899e-05,2.0977e-05,2.1350e-05,2.3722e-05,2.0509e-05,2.2413e-05,2.1142e-05,2.1305e-05,2.2261e-05,2.2796e-05,2.4485e-05,2.3634e-05,2.3387e-05,2.1354e-05,2.1552e-05,2.3134e-05,2.3593e-05,3.1642e-05,3.4556e-05,3.3531e-05,2.1085e-05,2.0681e-05,1.8661e-05,1.6526e-05,1.7270e-05,2.3197e-05,2.3180e-05,2.1869e-05,2.0956e-05,2.0064e-05,2.3380e-05,2.0858e-05,2.1209e-05,2.1717e-05,2.2020e-05
