pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
0.11646,3.2455e-07,9.9466e-08,2.9631e-07,2.7567e-07,2.1939e-07,2.0073e-07,3.0998e-07,2.4784e-07,1.6413e-07,7.8734e-08,1.0265e-07,5.7385e-08,5.9550e-08,8.5871e-08,1.7008e-07,2.4183e-07,4.0313e-07,2.2037e-07,9.5877e-08,2.1837e-07,1.9163e-07,1.1412e-07,3.9572e-08,9.9163e-08,9.3526e-08,2.1512e-07,2.8383e-07,1.6297e-07,1.2139e-07,2.6024e-07,2.0633e-07,2.7267e-07,1.8659e-07,3.1879e-07,2.4192e-07,3.0994e-07,2.3561e-07
0.118085,3.2455e-07,1.0256e-07,2.9631e-07,2.7567e-07,2.2010e-07,2.0187e-07,3.1238e-07,2.4999e-07,1.6624e-07,8.0696e-08,1.0416e-07,5.8674e-08,6.0638e-08,8.6908e-08,1.7276e-07,2.4372e-07,4.0466e-07,2.2394e-07,9.7931e-08,2.2457e-07,1.9238e-07,1.1723e-07,4.0692e-08,1.0181e-07,9.5315e-08,2.1643e-07,2.8587e-07,1.6486e-07,1.2314e-07,2.6208e-07,2.0764e-07,2.7332e-07,1.9181e-07,3.2096e-07,2.4192e-07,3.1040e-07,2.3562e-07
0.119732,3.2455e-07,1.0575e-07,2.9631e-07,2.7567e-07,2.2082e-07,2.0303e-07,3.1480e-07,2.5215e-07,1.6838e-07,8.2703e-08,1.0568e-07,5.9989e-08,6.1744e-08,8.7956e-08,1.7549e-07,2.4562e-07,4.0620e-07,2.2756e-07,1.0003e-07,2.3094e-07,1.9313e-07,1.2043e-07,4.1842e-08,1.0452e-07,9.7136e-08,2.1774e-07,2.8792e-07,1.6678e-07,1.2492e-07,2.6392e-07,2.0896e-07,2.7398e-07,1.9716e-07,3.2313e-07,2.4192e-07,3.1086e-07,2.3562e-07
0.121402,3.2455e-07,1.0904e-07,2.9631e-07,2.7567e-07,2.2154e-07,2.0419e-07,3.1723e-07,2.5432e-07,1.7054e-07,8.4757e-08,1.0723e-07,6.1331e-08,6.2869e-08,8.9015e-08,1.7825e-07,2.4753e-07,4.0774e-07,2.3124e-07,1.0216e-07,2.3748e-07,1.9388e-07,1.2370e-07,4.3022e-08,1.0731e-07,9.8988e-08,2.1906e-07,2.8999e-07,1.6871e-07,1.2671e-07,2.6577e-07,2.1028e-07,2.7463e-07,2.0266e-07,3.2532e-07,2.4192e-07,3.1131e-07,2.3562e-07
0.123095,3.2455e-07,1.1241e-07,2.9631e-07,2.7567e-07,2.2225e-07,2.0535e-07,3.1967e-07,2.5651e-07,1.7272e-07,8.6857e-08,1.0879e-07,6.2701e-08,6.4013e-08,9.0085e-08,1.8105e-07,2.4946e-07,4.0928e-07,2.3497e-07,1.0434e-07,2.4419e-07,1.9463e-07,1.2705e-07,4.4233e-08,1.1015e-07,1.0087e-07,2.2038e-07,2.9206e-07,1.7067e-07,1.2853e-07,2.6764e-07,2.1161e-07,2.7529e-07,2.0830e-07,3.2752e-07,2.4192e-07,3.1177e-07,2.3562e-07
0.124813,3.2455e-07,1.1589e-07,2.9632e-07,2.7567e-07,2.2297e-07,2.0651e-07,3.2213e-07,2.5872e-07,1.7493e-07,8.9006e-08,1.1038e-07,6.4099e-08,6.5175e-08,9.1166e-08,1.8389e-07,2.5139e-07,4.1082e-07,2.3875e-07,1.0656e-07,2.5107e-07,1.9539e-07,1.3049e-07,4.5475e-08,1.1307e-07,1.0279e-07,2.2170e-07,2.9415e-07,1.7264e-07,1.3037e-07,2.6951e-07,2.1295e-07,2.7594e-07,2.1408e-07,3.2973e-07,2.4192e-07,3.1222e-07,2.3562e-07
0.126554,3.2455e-07,1.1946e-07,2.9632e-07,2.7567e-07,2.2369e-07,2.0768e-07,3.2460e-07,2.6093e-07,1.7717e-07,9.1204e-08,1.1199e-07,6.5526e-08,6.6356e-08,9.2258e-08,1.8677e-07,2.5334e-07,4.1237e-07,2.4259e-07,1.0883e-07,2.5814e-07,1.9614e-07,1.3401e-07,4.6750e-08,1.1607e-07,1.0474e-07,2.2304e-07,2.9625e-07,1.7463e-07,1.3224e-07,2.7139e-07,2.1429e-07,2.7659e-07,2.2001e-07,3.3195e-07,2.4192e-07,3.1267e-07,2.3562e-07
0.128319,3.2455e-07,1.2314e-07,2.9632e-07,2.7567e-07,2.2440e-07,2.0886e-07,3.2709e-07,2.6317e-07,1.7942e-07,9.3452e-08,1.1361e-07,6.6982e-08,6.7557e-08,9.3361e-08,1.8969e-07,2.5529e-07,4.1392e-07,2.4648e-07,1.1113e-07,2.6539e-07,1.9690e-07,1.3763e-07,4.8059e-08,1.1913e-07,1.0672e-07,2.2437e-07,2.9835e-07,1.7664e-07,1.3413e-07,2.7328e-07,2.1564e-07,2.7724e-07,2.2610e-07,3.3419e-07,2.4192e-07,3.1312e-07,2.3562e-07
0.130109,3.2455e-07,1.2674e-07,2.9632e-07,2.7567e-07,2.2497e-07,2.0988e-07,3.2922e-07,2.6502e-07,1.8147e-07,9.5689e-08,1.1530e-07,6.8613e-08,6.8902e-08,9.4596e-08,1.9312e-07,2.5783e-07,4.1626e-07,2.5060e-07,1.1339e-07,2.7291e-07,1.9748e-07,1.4125e-07,4.9367e-08,1.2237e-07,1.0866e-07,2.2540e-07,3.0015e-07,1.7858e-07,1.3603e-07,2.7491e-07,2.1683e-07,2.7773e-07,2.3265e-07,3.3627e-07,2.4192e-07,3.1342e-07,2.3562e-07
0.131924,3.2455e-07,1.3014e-07,2.9632e-07,2.7567e-07,2.2528e-07,2.1066e-07,3.3077e-07,2.6621e-07,1.8315e-07,9.7869e-08,1.1705e-07,7.0526e-08,7.0482e-08,9.6047e-08,1.9740e-07,2.6135e-07,4.1993e-07,2.5506e-07,1.1553e-07,2.8076e-07,1.9776e-07,1.4483e-07,5.0652e-08,1.2588e-07,1.1048e-07,2.2591e-07,3.0141e-07,1.8037e-07,1.3794e-07,2.7611e-07,2.1776e-07,2.7796e-07,2.3991e-07,3.3809e-07,2.4192e-07,3.1347e-07,2.3562e-07
